Threads;Cpp;Asm
1;9,81331;5,99679
2;5,31028;1,42336
3;3,78964;1,72202
4;4,47274;2,49642
5;4,4514;1,60256
6;4,02175;1,79072
7;4,51796;1,88288
8;4,68479;2,09109
9;4,86655;2,27882
10;4,63402;2,34709
11;4,79487;7,30665
12;5,05343;6,00788
13;5,55519;5,63881
14;5,26676;4,72916
15;5,34996;3,60063
16;5,35082;3,80842
17;5,73396;3,84255
18;5,63924;4,84266
19;5,77364;4,68266
20;5,91444;5,63327
21;6,08681;12,8571
22;6,21823;8,37204
23;6,12564;5,76212
24;6,68841;5,44895
25;6,58004;6,48575
26;6,53225;4,80724
27;6,83604;5,00436
28;6,69396;6,40297
29;6,95167;5,00138
30;6,92308;5,37087
31;6,96703;5,95625
32;7,22814;5,63796
33;9,62686;5,91487
34;8,37417;6,55188
35;7,46878;6,61929
36;7,8306;6,30911
37;7,92745;6,30356
38;7,94281;6,07359
39;8,34217;7,23326
40;8,45609;7,5827
41;8,6754;7,46366
42;8,94974;6,74601
43;8,89129;7,12873
44;9,01161;8,45267
45;9,44382;7,33054
46;9,74547;8,10068
47;9,33374;8,10068
48;10,0207;8,25812
49;11,3728;7,8067
50;10,2792;7,83188
51;10,5642;8,07209
52;10,8403;8,44628
53;10,8821;8,39294
54;10,9222;9,82995
55;11,104;8,82388
56;10,961;8,93865
57;11,476;9,63454
58;11,8135;9,21641
59;11,3672;9,68403
60;11,927;11,0707
61;11,5951;10,2963
62;11,8485;11,5067
63;12,2304;10,0173
64;11,9569;10,1687
