Threads;Cpp;Asm
1;294,262;192,525
2;179,288;44,1544
3;170,311;45,7219
4;120,103;46,1251
5;126,8;43,31
6;133,528;50,5151
7;133,788;45,9301
8;122,514;43,9666
9;121,538;44,8494
10;131,006;43,7157
11;162,111;43,3599
12;163,186;44,0302
13;166,981;43,5045
14;175,728;43,2417
15;220,793;43,3586
16;188,288;43,458
17;170,642;45,457
18;163,444;49,3934
19;175,768;46,3099
20;173,808;43,9841
21;164,651;44,6096
22;156,483;45,6797
23;170,602;45,8905
24;132,697;45,6008
25;124,665;45,8546
26;120,713;46,1366
27;124,792;47,717
28;146,106;48,6578
29;160,015;44,8174
30;164,014;47,4179
31;160,51;45,1954
32;164,772;44,715
33;154,175;45,4416
34;149,012;51,6658
35;140,478;46,7924
36;166,871;44,9061
37;172,513;48,4129
38;183,094;46,6013
39;168,267;51,2788
40;169,178;46,9226
41;160,75;47,2144
42;150,708;47,3219
43;152,411;47,0292
44;123,637;46,9
45;124,134;46,8163
46;127,806;47,6061
47;129,034;49,1007
48;171,296;47,6078
49;170,53;46,9657
50;168,302;48,8839
51;166,313;46,2804
52;169,839;46,6414
53;168,564;46,5642
54;209,682;46,4306
55;170,77;48,9893
56;172,553;47,0002
57;169,447;45,2001
58;174,602;45,8465
59;175,113;45,1907
60;140,993;45,3674
61;125,834;45,57
62;124,492;45,716
63;125,297;45,6729
64;157,522;45,7838
