Threads;Cpp;Asm
1;211,052;172,212
2;123,83;44,5934
3;127,041;44,753
4;116,044;44,8119
5;111,989;45,3008
6;127,895;48,5729
7;93,8682;46,8735
8;89,18;45,2722
9;94,4506;46,3496
10;102,734;47,5664
11;93,5076;46,8048
12;92,1427;46,737
13;92,5408;47,0928
14;98,1728;45,8021
15;91,644;47,1167
16;86,8905;57,9165
17;97,1932;53,0879
18;111,961;48,1671
19;117,518;46,6401
20;120,856;46,7331
21;117,124;46,3193
22;119,232;45,5299
23;115,643;45,3401
24;112,844;45,3392
25;122,044;45,6204
26;124,698;45,8004
27;119,554;47,9316
28;119,21;47,9231
29;126,414;48,2883
30;117,883;47,9555
31;119,64;47,7755
32;120,109;48,2111
33;120,047;50,9575
34;121,669;47,682
35;119,259;46,0778
36;98,2487;49,7462
37;91,3329;46,3649
38;92,3911;46,4345
39;89,7351;48,9932
40;88,7759;52,2418
41;94,6392;49,1417
42;114,463;49,6925
43;123,51;46,7877
44;121,853;46,8662
45;118,432;48,1753
46;122,088;48,7197
47;117,293;49,1536
48;118,768;48,4846
49;118,989;50,9857
50;123,445;48,5934
51;122,33;49,4156
52;122,293;48,8101
53;120,414;48,8724
54;119,951;52,2017
55;134,801;54,8172
56;120,815;51,182
57;119,618;47,2592
58;120,353;47,3364
59;121,366;47,394
60;92,6244;47,0305
61;92,4772;50,2075
62;93,2751;47,2272
63;94,5363;47,0134
64;96,5975;46,9499
